A,B,C
0.8016637900691636,0.7459566542545346,0.7762801262637954
0.2697809236342812,0.23917243035775088,0.25003654857926644
0.309692668023153,0.3172981792285687,0.2892925611006134
0.3525617784184079,0.3726861164314024,0.318307802372785
0.24971726413989437,0.2596552989602504,0.2471592605085026
0.1716252138051358,0.16777250916105424,0.14597133650423647
0.1598145282094356,0.14521672856660686,0.18428920275381216
0.1768109175626516,0.15536243268978112,0.15513703327238906
0.19015524847296292,0.16587041598090682,0.17965795536992263
0.1857098349215573,0.16114857693377158,0.17829037266963982
0.16784581388034028,0.14513604131026087,0.15888691356590234
0.1442718271200994,0.12489717194477228,0.13981248697893997
0.12576679692756326,0.11066535668244715,0.13430801319191232
0.1212619275636336,0.11028421382027288,0.13125695669495205
0.12382945435398972,0.11509546032748501,0.11043292947201735
0.12739301776416356,0.11883639116305293,0.11347080937600591
0.12288622550316339,0.11324562953943654,0.0990603331956269
0.11290397605417492,0.10081967029858888,0.09418548027327592
0.10521470119076244,0.09047752149786378,0.10175914951603977
0.10138128808078949,0.08444423519329304,0.08916334010737044
0.09970697419575324,0.0812043971968429,0.09753480114130926
0.09845962349190826,0.07895959210093108,0.0992574750115085
0.09740464623569095,0.07727410655099229,0.0853666899229597
0.09455354307014556,0.074586673554447,0.0778717932391898
0.09062821324262964,0.07116322984332323,0.07798018185335184
0.08647403086247411,0.06733219612245336,0.07995941143913667
0.08240498361482063,0.06347165781323272,0.07788689778886329
0.0791149290116119,0.06030867586705578,0.07104968646772292
0.07698490440638082,0.05850322890742705,0.05507020117242493
0.07544089263157752,0.05805065503100536,0.08096114489259845
0.07367081345567025,0.057081051815214515,0.057656390801012564
0.07076773712162414,0.054716281698973315,0.050929290782532555
0.06648508831549194,0.05012968358316408,0.05837782286108379
0.06284479674936115,0.04604661736043042,0.053012024205830094
0.06109051093791586,0.04366178003823478,0.06062252027448462
0.061266877067054186,0.04350481165572428,0.060261641844353515
0.06030670876061905,0.04281127611540274,0.04463906254763434
0.05800217705203667,0.04161597104387595,0.05285025073717587
0.05342367353424267,0.038842482572562564,0.044974277543896775
0.04908997800457197,0.03679530217391348,0.0439599128011246
0.045585138807085,0.03530747976496619,0.03877578496093687
0.04325522660775826,0.034623521896890753,0.03988470724222401
0.041704106239952514,0.03408230202160264,0.034995860983918256
0.04029051372406747,0.03374130226363921,0.04117454132470127
0.03826353987039719,0.03164193377485566,0.03401504245757921
0.03738458937587526,0.030132354269545997,0.030384369459663097
0.03397712992910963,0.027221851252132067,0.02986380876171423
0.03176482482439626,0.02546358235857353,0.02874208867200276
0.03054940206401477,0.025028755722063544,0.023654892548447274
0.031421425975098234,0.025750909525028797,0.023305350061188574
0.030752333194189036,0.02537776955491048,0.027691028948197527
0.027766774310505785,0.023568468349745884,0.028006222266859244
0.02725610253467133,0.02337135076800437,0.026081479805087737
0.02613309740281004,0.022066209078235647,0.02717435950778978
0.027515597237520478,0.023512247933515886,0.02508545247513369
0.02646831044727193,0.022908492655458038,0.02109022516141822
0.023919969432744593,0.021477423417140044,0.022702962883246913
0.022863297733564325,0.020834725502973613,0.021469271824948538
0.022488375056972612,0.020273745833388458,0.021769622286416036
0.022755513935790003,0.020146988150159587,0.02095165130333876
0.022871000691983046,0.01990936349912399,0.021883022645337886
0.022841894507701535,0.02010478287012383,0.02298708082770766
0.022561548101446224,0.01935697723721292,0.02260208412489211
0.023543396339149078,0.02017028901854665,0.02319083204242144
0.020955203280426472,0.019106871077829334,0.01940828739237757
0.02113026411797374,0.01923046292743742,0.020416653747977152
0.021304813914044072,0.01843054229690331,0.021046652485110097
0.021162151496036445,0.017951930177970195,0.020842212735497346
0.02066410800991287,0.017535811160789783,0.018053077970967002
0.019675307574058585,0.01694019297513204,0.017785665035453677
0.018296978756717888,0.0167015413610851,0.01983419376574584
0.017955508620723343,0.01675415147454226,0.01856292234371451
0.0197613194220306,0.018107992530326245,0.018514194482715608
0.01753601601798619,0.01677246851965013,0.018659370048897842
0.017346456870989464,0.01606887469906539,0.019714409437882167
0.018144053376115927,0.015960795147635685,0.016815558884303982
0.01860713780290288,0.015986208376561777,0.017517838713373084
0.018234144266336644,0.01575936857788257,0.015617980568777213
0.01883757297178983,0.016414325122552923,0.015074457364653456
0.018881009397761696,0.01608392777683286,0.016974227780192308
0.019346509265754153,0.016270617373893122,0.018029238725115946
0.017909184709402004,0.015303614028499852,0.015101282004460634
0.017792879427128337,0.015481156377356302,0.01750466567790824
0.017209061071935736,0.014781167443432783,0.016675132416506283
0.017467016327748202,0.01498622372191512,0.01773505195519455
0.016934058176192545,0.014605695733114384,0.015546394583584805
0.01667398069696681,0.014391475900434322,0.016965056660324884
0.016291185961256883,0.014258421697825378,0.017190777341071016
0.01593625386678264,0.014179388937134696,0.014098557697895796
0.015596899516511064,0.013702805370573301,0.016769004475353805
0.017672321006488852,0.01532928668914788,0.017195369206311505
0.01618705227307556,0.013605785994114166,0.01576691286432754
0.016687555411889595,0.013824845773813802,0.015904520842403284
0.01533152570996891,0.013167873433195655,0.014771865393986672
0.015961787022937476,0.014308739950405358,0.016299179779450217
0.015733544169179103,0.014378426791751036,0.015875339495876304
0.014644660497051404,0.013872986455989292,0.011857550818364518
0.014241447400330613,0.012992088717705162,0.015003208135361597
0.015084990912500866,0.013285502500606814,0.013510040524727249
0.016376798943933315,0.014582451686542208,0.01616226037375687
0.014681545225454585,0.013226256014826845,0.015015016354216941
0.014750149770292924,0.013726863842338127,0.013194535463834105
0.014272851323900075,0.013705553225979621,0.015506277495386115
0.01426293336173929,0.013579808440587872,0.014654470062765323
0.014036974677927154,0.012979600668085872,0.013394481924910665
0.014486590633168912,0.012814964655029933,0.012746232304923805
0.014546376275931555,0.012615044172513587,0.014347034725363328
0.013674984403584492,0.01228057215082446,0.012847575393276623
0.012644902846391009,0.011909195860270878,0.012894238941821186
0.013243646672801267,0.012956544870836197,0.013564108676665673
0.013824624355894452,0.013294695721371295,0.014297029874546483
0.013600994719100238,0.012432560842478773,0.014293158143756717
0.01342246762422841,0.011847800999365716,0.012324115552263462
0.013107432340914264,0.011807363668773387,0.013889214267062952
0.013191872140742609,0.012406602876815791,0.015025436855519833
0.012546737725692196,0.01227711220583413,0.011723622691688926
0.012822143274786504,0.012390874998219397,0.01127272954174906
0.01254617497668531,0.011806463548766336,0.014258036097540734
0.01245182346397843,0.011331636117414239,0.01196309407129074
0.013570587997082882,0.012563775500158192,0.011186055678603079
0.01314204997409426,0.012156521339905545,0.013136434784068438
0.013344914997577421,0.012398480930359073,0.012857503764036349
0.01254059872779477,0.011975158336723347,0.013131673574560788
0.014034512538443162,0.013545418687004715,0.01440381955416669
0.012746506199130678,0.012329339093083506,0.012106621694931322
0.012905314843695089,0.012595435582727835,0.014316462142818282
0.013916480589733757,0.013439183133616509,0.014699606510621587
0.012010130641494648,0.01138232804715523,0.010451799856663342
0.013239314178356682,0.012314730594264816,0.012933283055188103
0.012458144943195625,0.011650433764496392,0.01106546100247352
0.012446497370478527,0.011654419123517718,0.012240680744418562
0.011999083899094447,0.01116081526727249,0.013536283465257768
0.012186853724327212,0.01129191769955506,0.011731779453645614
0.012495678966395187,0.011581463093984272,0.012200038319833408
0.01189093185283548,0.01090011381847188,0.01297003225543783
0.012486807464991825,0.011302177113176928,0.011740414434006047
0.012714925398856295,0.011584495541930502,0.012754655953477011
0.011785379439499147,0.011049709342885213,0.012057433420149324
0.012363802644816756,0.012104321026537851,0.012222346313756974
0.012182873580423909,0.012031186911050163,0.011023518367204065
0.012614991793336194,0.012065496054561309,0.010283369914601695
0.012943326843016004,0.01208878943415574,0.01306934637181122
0.012431799383320074,0.011687627705830038,0.01307191797775908
0.011682750848538051,0.011362504522664447,0.011856532179457863
0.012458927324643888,0.011995345803002617,0.01485299632493911
0.011824998530973943,0.01110650487317677,0.01277345460870756
0.012391401008129225,0.010730905936705788,0.011803517600960753
0.013315148627794258,0.011492730557525503,0.010778260748732277
0.012225641903618993,0.010698420135961144,0.011491215710889569
0.012054870616177188,0.011103412761030693,0.014334752071403407
0.01226304255603155,0.011851996663907929,0.011805002892253613
0.011832578972952604,0.011319910132526752,0.012020000316526717
0.012376973255943476,0.011059365998166346,0.013057967841257664
0.012993203034834998,0.011152297362919552,0.013497875275139288
0.012066451659295077,0.010566818622451691,0.011388120447616059
0.012064996419118058,0.011163034320715859,0.013516348956363184
0.01235563663996962,0.011609632195097667,0.010601538190066819
0.011913320314988152,0.011061189006529788,0.012065775948631136
0.012409144510327525,0.01090593201271816,0.011448446312655416
0.013132447091360182,0.011047256173301052,0.012280461810317066
0.012036800723484032,0.010456215593426655,0.011696630763198846
0.011623036959243025,0.010902139125660012,0.01300660427562474
0.011952192219195877,0.011761912630953494,0.01379228390217359
0.011461520279427132,0.011084908469698973,0.011615842072288569
0.01227146129015111,0.011205126187815617,0.012696749521634867
0.013246954823866645,0.011595647245412267,0.011285091943832863
0.012795757987360549,0.01115001302487752,0.011196582029825035
0.011704330991513976,0.01078931963007348,0.010574398489395316
0.011676074219194268,0.011217221726457829,0.011715432866629426
0.01155763562298151,0.011148661022644384,0.011385473236465053
0.011387212419054542,0.010334693674784365,0.011171379544717374
0.01226129513348452,0.010695144558672338,0.008972283697872944
0.012178549879088668,0.01061592629644903,0.011556257848515373
0.011565173856975804,0.010653415715161563,0.009764343862616391
0.011745382399232143,0.011576130636887177,0.011479633832343608
0.011797705974714986,0.01199557741835868,0.012623863683821988
0.011482115810061715,0.011314711892979615,0.010755522696468223
0.011763004365008312,0.01095513723041238,0.010389085806671862
0.01224678693845398,0.011006505882894094,0.012672595190655628
0.011841434295684348,0.010733063226769075,0.012137742875404062
0.011275369061815116,0.01047042391226844,0.011147793679754077
0.011848123622354352,0.011118604178308315,0.013909491739877381
0.012004954377192067,0.01101930654492278,0.011874967354890922
0.012189212839120073,0.010766608711992148,0.010429497658890029
0.012095389895228514,0.010331349272108102,0.011465873794292952
0.01215643621547744,0.010831239070118279,0.012411331412792093
0.011289531737730124,0.010522078339076063,0.011785319208057244
0.011632943660405274,0.010924340883068385,0.011680493786527038
0.011221538825104026,0.010635597816011496,0.011228046323721309
0.01171699422352768,0.011006286334323746,0.011611338320656084
0.011264477469945784,0.01030853528581427,0.012182704480200621
0.011519257256166945,0.010563794851047071,0.011781004632427289
0.011055153096822333,0.01012383053405977,0.00937975265901845
0.01130589348544155,0.010522954016155195,0.01269184210015752
0.011124315945805702,0.011151141736825495,0.011571969732475618
